L.A. Confidential	 --- Curtis Hanson (dir.), Kevin Spacey, Russell Crowe	 --- 1997	 --- 541,909	 --- 8.2
Heat	 --- Michael Mann (dir.), Al Pacino, Robert De Niro	 --- 1995	 --- 592,056	 --- 8.2
Rashomon	 --- Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô	 --- 1950	 --- 156,151	 --- 8.2
Yojinbo	 --- Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno	 --- 1961	 --- 113,963	 --- 8.2
Ran	 --- Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao	 --- 1985	 --- 115,779	 --- 8.2
Die Hard	 --- John McTiernan (dir.), Bruce Willis, Alan Rickman	 --- 1988	 --- 806,276	 --- 8.2
Monty Python and the Holy Grail	 --- Terry Gilliam (dir.), Graham Chapman, John Cleese	 --- 1975	 --- 508,564	 --- 8.2
Green Book	 --- Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali	 --- 2018	 --- 407,719	 --- 8.2
Der Untergang	 --- Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara	 --- 2004	 --- 336,783	 --- 8.2
Batman Begins	 --- Christopher Nolan (dir.), Christian Bale, Michael Caine	 --- 2005	 --- 1,335,967	 --- 8.2
Some Like It Hot	 --- Billy Wilder (dir.), Marilyn Monroe, Tony Curtis	 --- 1959	 --- 248,595	 --- 8.2
All About Eve	 --- Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter	 --- 1950	 --- 122,882	 --- 8.2
Unforgiven	 --- Clint Eastwood (dir.), Clint Eastwood, Gene Hackman	 --- 1992	 --- 383,399	 --- 8.2
Bacheha-Ye aseman	 --- Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian	 --- 1997	 --- 67,717	 --- 8.2
Hauru no ugoku shiro	 --- Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura	 --- 2004	 --- 346,587	 --- 8.2
The Wolf of Wall Street	 --- Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill	 --- 2013	 --- 1,229,259	 --- 8.2
The Great Escape	 --- John Sturges (dir.), Steve McQueen, James Garner	 --- 1963	 --- 229,101	 --- 8.2
Judgment at Nuremberg	 --- Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster	 --- 1961	 --- 71,434	 --- 8.2
Casino	 --- Martin Scorsese (dir.), Robert De Niro, Sharon Stone	 --- 1995	 --- 477,588	 --- 8.2
Pan's Labyrinth	 --- Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil	 --- 2006	 --- 628,939	 --- 8.2
The Treasure of the Sierra Madre	 --- John Huston (dir.), Humphrey Bogart, Walter Huston	 --- 1948	 --- 116,570	 --- 8.2
A Beautiful Mind	 --- Ron Howard (dir.), Russell Crowe, Ed Harris	 --- 2001	 --- 866,793	 --- 8.1
There Will Be Blood	 --- Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano	 --- 2007	 --- 531,170	 --- 8.1
El secreto de sus ojos	 --- Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil	 --- 2009	 --- 197,420	 --- 8.1
Raging Bull	 --- Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty	 --- 1980	 --- 328,094	 --- 8.1
Tonari no Totoro	 --- Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka	 --- 1988	 --- 301,704	 --- 8.1
Chinatown	 --- Roman Polanski (dir.), Jack Nicholson, Faye Dunaway	 --- 1974	 --- 301,242	 --- 8.1
Lock, Stock and Two Smoking Barrels	 --- Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher	 --- 1998	 --- 545,265	 --- 8.1
The Gold Rush	 --- Charles Chaplin (dir.), Charles Chaplin, Mack Swain	 --- 1925	 --- 103,513	 --- 8.1
